Dealer,Player
"7D,7C","QH,3H"
"JC,KH","KC,6H"
"9C,5D","9H,3S"
"JD, JS","6S,AS"
"JH,2D","3C,4C"
"QD,10H","8H,8D"
"8C,9D","4D,10D"
"6C,4S","8S,QS"
"2H,2C","AD,6D"
"3D,7H","7S,KD"
"5S,AC","QC,4H"
"AH,9S","5H,2S"
"KS,5C","10C,10S"
"4H,QC","AC,10D"
"2C,JC","4C,QD"
"4S,7D","2D,AS"
"9S,2S","5S,8D"
"6S,5C","10D,10S"
"QS,7H","JD,KD"
"4D,5H","7S,8S"
"9H,9C","5D,3S"
"8C,9D","KS,QH"
"3H,6D","3C,2H"
"3D,AD","JH, KC"
"6C,6H","AH,8H"
"JS,7C","KH,10H"
"4D,JH","KC,5H"
"QS,7H","10C,JD"
"KS,2H","6D,7S"
"9D,QH","3S,5D"
"8H,AH","AD,6H"
"3D,8C","9H,9C"
"3H, KD","2S, 8S"
"AC,10S","AS,6S"
"5S, KH","7D,5C"
"10H,7C","2D,JS"
"10D,QC","4C,2C"
"4H,8D","3C,6C"
"9S,JC","QD,4S"
"JH,4D","4C,7C"
"AS,3H","JS,2D"
"5H,3D","5C,9H"
"9C,8C","8D,2S"
"10H,9S","4S,KD"
"10S,AC","8S,5S"
"6C,6D","KH,JC"
"2C,QD","10D,QC"
"6S,3C","KS,4H"
"6H,AH","AD,8H"
"7S,2H","5D,7H"
"JD,10C","9D,QS"
"3S,QH","KC,7D"
