Dealer,Player
"7C,4C,3S","2S,JH,4D"
"8C,8D,AS","9H,9C,3H"
"5H,9S,5C","10H,4S,2D"
"5S,6C,6D","6S,JC,KH"
"2C,8S,KD","10D,QC,QD"
"AD,4H,KS","8H,5D,7H"
"KC,QS,7D","3D,JS,QD"
"6H,10S,AC","AH,7S,3C"
"QH,JD,10C","3H,QD,2H"
"3H,QD,AC","3C,QC,9D"
"QH,6S,7S","AD,2C,8S"
"8C,9C,JS","9H,2D,4S"
"4D,10D,5S","10S,JH,3D"
"10H,2S,QS","7D,6H,6C"
"2H,10C,KC","7H,JD,KS"
"4H,AH,KD","KH,8H,5D"
"3S,AS,JC","8D,7C,4C"
"5H,9S,5C","QS,6D,3D"
"5H,6C,JD","3D,6D,QC"
"QS,5C,9S","AS,5D,4H"
"QD,10H,9C","3H,2C,4S"
"2D,10S,AD","7S,10C,3S"
"AH,2S,6S","10D,9D,JS"
"KD, KH, 6H","7D, AC,4D"
"KC, JC, 7H","3C, 8S, 7C"
"JH, QH, 2H","9H, KS, 8C"
"8H,5S, 4C","4D,8D,7H"
"4D, 8D, 7H","7C,AC,JC"
"9D,6S,AD","10S,2S,10D"
"3S,AH,2D","9S,10C,3C"
"9C,QS,5C","2H,4C,8C"
"8H,5S,QH","JH,KC,KS"
"6D,7S,QC","4S,3D, 10H"
"2C, 5D, 4H","KH,3H, AS"
"9H,KD,6H","6C,QD,JD"
"8S,7D,5H","JS,JD,QD"
