Dealer,Player
9C,10S
6H,2C
5S,JC
7D,7C
QH,5H
5D,JD
QS,2H
9S,KS
4S,QD
3H,2D
QC,7H
9D,6D
JS,AD
10D,6S
KH,3D
AS,10C
4H,KD
8D,8H
AH,4D
3C,6C
7S,8S
JH,8C
2S,4C
3S,KC
9H,AC
10H,5C
7C,4S
JC,7D
QC,9H
QS,JH
AC,KC
AD,2H
6D,3H
2D,4D
QH,7S
QD,9D
JS,6S
KH,4H
KD,3D
7H,8S
3S,8C
5C,10H
KS,9S
5H,JD
5D,8D
AS,9C
10S,5S
2C,6H
10C,4C
AH,2S
6C,8H
3C,10D
9H,QC
5H,7C
5C,4S
3C,7D
3S,10D
4H,KS
2C,3H
6H,6D
5S,2D
10S,4D
KC,AC
2H,5D
JH,9S
QS,KD
2S,4C
3D,10C
8D,JS
JD,QH
AS,7H
6C,AH
JC,8H
9C,10H
8C,8S
7S,KH
9D,6S
AD,QD
6D,7S
2S,9S
8S,QD
2H,3H
3S,10D
KD,QS
4C,3C
6S,9D
4S,9H
10C,5S
8C,3D
5C,4D
8H,KH
7D,7C
JC,QC
2D,KC
AC,10S
AH,KS
6C,JS
7H,5D
AS,JH
QH,JD
8D,AD
10H,9C
6H,5H
2C,4H
