Dealer,Player
"10H, 4S","8S, QS"
"3S, 6S","6D, 7S"
"KD, 10D","3C, 10C"
"JH, 5D","8D, QD"
"5H, 9C","6H, 7H"
"3D, QC","7C, JC"
"5C, AH","JD, 8C"
"2S, 6C","4H, 2C"
"2D, KS","9S, KC"
"4C, 2H","AS, 3H"
"JS, QH","AC, 10S"
"KH, 9D","7D, 8H"
"9D, 4D","AD, 5S"
"5D, QH","KH, 2S"
"10C, JH","10D, 3C"
"3H, 10S","KD, 8S"
"10H, 3S","9H, 2D"
"2H, AS","2C, AD"
"9D, 4D","8C, 4C"
"5S, AC","JD, AH"
"QD, 7S","4H, 8H"
"9S, 5H","9C, KS"
"7C, JC","7H, 5C"
"7D, 3D","6H, QC"
"6D, 8D","JS, 6C"
"KC, 6S","QS, 4S"
"4C, 5D","3S, 10D"
"AD, 2C","2H, 5S"
"7S, 6D","KD, QD"
"8H, 4H","9D, 8D"
"4D, 8C","6S, QS"
"4S, KC","6C, 8S"
"10H, JH","AS, 9H"
"JD, 9C","5H, 9S"
"3C, 2D","QC, AC"
"3D, AH","JC, 7H"
"7D, 7C","QH, KS"
"3H, KH","10S, 2S"
"10C, JC","6H, 5C"
"5S, KD","4H, 7S"
"6D, AD","2C, 2H"
"QS, 8S","10H, QD"
"4S, 8C","8H, 4C"
"9D, 8D","3D, 3C"
"AS, JH","JD, 9C"
"10D, 4D","5D, 3S"
"3D, 6S","9H, KC"
"7H, 6C","KH, JC"
"QC, AC","9S, AH"
"5C, 5H","JS, 6H"
"KS, 2S","10S, 10C"
"QH, 3H","7D, 7C"
