Dealer,Player
2D,5D
7C,10H
7D,4H
10C,3H
AS,JH
AD,9H
7H,JD
6H,9S
3D,8D
QC,KH
6C,6D
10S,5S
AH,KD
3C,QS
2C,JC
JS,8H
4S,8C
4S,8S
QD,AC
KS,7S
KH,4D
2H,9C
5H,9D
6S,5C
2S,3S
10D,QH
JH,4S
AD,10C
7D,5D
3H,10H
4H,7H
AS,QD
QS,8H
2C,9S
9D,2S
KD,4C
8C,2H
2D,KC
JS,5C
JC,5H
6S,3S
AH,4D
AC,7S
KS,8D
8S,KH
3D,3C
6D,10D
QH,9C
6H,7C
5S,9H
JD,QC
10S,6C
AH,5D
QS,KC
9S,2S
4S,10C
AD,8S
6C,9C
7C,9H
KH,QC
KS,5H
AC,6S
6H,JD
5S,10S
10D,6D
3C,QH
10H,KD
7H,3D
8D,2D
2H,5C
JH,JS
4C,7S
JC,4D
AS,QD
4H,3S
2C,9D
8C,7D
3H,8H
JC,4D
8S,6C
AD,9C
KH,QC
7C,KS
10H,2H
AC,7H
JH,JS
KD,QH
4C,3D
8H,7S
2D,5C
AS,QD
KC,6H
5H,6S
JD,5S
10S,10D
6D,8D
3C,3S
4H,9H
8C,3H
9S,9D
QS,AH
2S,5D
4S,10C
2C,7D
