Dealer,Player
10D,8D
4H,8C
9D,9S
2S,4S
10C,7D
2C,4D
5C,JC
KS,3D
KC,JH
5D,QS
JD,10S
2H,7H
QD,5H
6D,2D
3S,3C
AC,AH
3H,QH
8H,5S
9H,AS
6H,KD
7S,4C
6S,AD
QC,9C
KH,6C
7C,8S
10H,JS
9S,KC
JH,7H
10S,2D
10C,10H
KH,JS
5H,4C
QC,7S
9H,8H
3D,KD
QD,2S
3C,5D
KS,5S
QH,3D
QS,AC
9D,2H
JD,3S
2C,7D
4D,9C
6C,AD
4S,6S
5C,6H
8S,7C
AS,4H
10D,8D
8C,JC
6D,AH
2D,JH
4H,8S
8D,8C
10D,AS
QC,7C
6H,JC
7S,KS
4C,10H
8H,KH
JS,10C
5H,3S
7H,5D
9S,KC
10S,4D
6D,QS
QD,KD
3H,10H
3C,2H
9D,2C
AD,6C
6S,2S
9C,3D
7D,4S
5C,AH
QH,5S
AC,JD
7C,6H
JC,4C
KS,7S
5H,QD
4D,9C
10C,QS
6D,QH
2S,5D
3H,KD
7H,10S
9S,3S
8H,2D
4H,JH
8C,3C
9H,6S
9D,8D
AH,8S
3D,4S
5S,5C
7D,JD
10D,AC
AS,QC
10H,JS
KH,KC
AD,6C
2C,2H
